#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3343.22699651	5.0632703906986034e-18	5.0632703906986034e-18	2.85275207074e-17
3343.42697999	5.7646049947985994e-18	5.7646049947985994e-18	2.733501346888e-17
3343.62696347	5.7646049947985994e-18	5.7646049947985994e-18	2.750479308979998e-17
3343.82694695	5.7646049947985994e-18	5.7646049947985994e-18	2.729049573432e-17
3344.02693043	5.7646049947985994e-18	5.7646049947985994e-18	2.770803588105001e-17
3344.22691391	5.0632703906986034e-18	5.0632703906986034e-18	2.781248093955999e-17
3344.42689739	5.0632703906986034e-18	5.0632703906986034e-18	2.799978195863e-17
3344.62688087	5.7646049947985994e-18	5.7646049947985994e-18	2.741848804761001e-17
3344.82686435	5.0632703906986034e-18	5.0632703906986034e-18	2.773442265132e-17
3345.02684783	7.690953309298611e-18	7.690953309298611e-18	2.787004245059e-17
3345.22683131	7.690953309298611e-18	7.690953309298611e-18	2.786312510427e-17
3345.42681479	7.690953309298611e-18	7.690953309298611e-18	2.66986261692e-17
3345.62679827	6.602659739598606e-18	6.602659739598606e-18	2.688021328904001e-17
3345.82678175	6.602659739598606e-18	6.602659739598606e-18	2.747272585491e-17
3346.02676522	6.602659739598606e-18	6.602659739598606e-18	2.699349596784e-17
3346.2267487	5.0632703906986034e-18	5.0632703906986034e-18	2.72088961016e-17
3346.42673218	6.602659739598606e-18	6.602659739598606e-18	2.713839933411001e-17
3346.62671566	7.690953309298611e-18	7.690953309298611e-18	2.649463792464e-17
3346.82669914	1.0441326390798604e-17	1.0441326390798604e-17	2.60767239936e-17
3347.02668262	7.690953309298611e-18	7.690953309298611e-18	2.728941294384999e-17
3347.2266661	1.0441326390798604e-17	1.0441326390798604e-17	2.764718965074e-17
3347.42664958	1.0872555817198601e-17	1.0872555817198601e-17	2.72104081954e-17
3347.62663306	1.0872555817198601e-17	1.0872555817198601e-17	2.707801247953999e-17
3347.82661654	1.0441326390798604e-17	1.0441326390798604e-17	2.640531873840001e-17
3348.02660002	7.690953309298611e-18	7.690953309298611e-18	2.679842703552e-17
3348.2265835	7.507570239798607e-18	7.507570239798607e-18	2.70840263032e-17
3348.42656698	7.507570239798607e-18	7.507570239798607e-18	2.65961659408e-17
3348.62755038	7.507570239798607e-18	7.507570239798607e-18	2.656169423754001e-17
3348.82753386	7.507570239798607e-18	7.507570239798607e-18	2.580099851826e-17
3349.02751734	7.507570239798607e-18	7.507570239798607e-18	2.661680249714e-17
3349.22750082	6.8602855902986e-18	6.8602855902986e-18	2.566726725772e-17
3349.4274843	6.602659739598606e-18	6.602659739598606e-18	2.501919610352e-17
3349.62746777	6.602659739598606e-18	6.602659739598606e-18	2.604916920222e-17
3349.82745125	6.602659739598606e-18	6.602659739598606e-18	2.541605552513999e-17
3350.02743473	6.8602855902986e-18	6.8602855902986e-18	2.692366761546e-17
3350.22741821	6.8602855902986e-18	6.8602855902986e-18	2.53590134096e-17
3350.42740169	7.507570239798607e-18	7.507570239798607e-18	2.522832078247e-17
3350.62738517	7.507570239798607e-18	7.507570239798607e-18	2.607228380455e-17
3350.82736865	7.690953309298611e-18	7.690953309298611e-18	2.676920986824001e-17
3351.02735213	7.507570239798607e-18	7.507570239798607e-18	2.691257784923e-17
